Date,Open,High,Low,Close,Volume
08/20/2021,"13.60","13.87","13.10","13.46","221,401"
08/19/2021,"13.20","13.72","12.98","13.60","373,443"
08/18/2021,"13.61","13.97","13.15","13.22","421,407"
08/17/2021,"15.29","15.30","13.04","13.56","708,755"
08/16/2021,"17.20","17.30","15.36","15.39","338,186"
08/13/2021,"16.19","17.36","16.02","17.28","314,414"
08/12/2021,"16.00","16.80","16.00","16.19","548,588"
08/11/2021,"16.80","16.91","16.00","16.04","531,235"
08/10/2021,"16.01","17.06","16.01","16.73","496,958"
08/09/2021,"16.00","16.38","15.43","16.12","386,392"
08/06/2021,"15.70","16.20","15.69","16.02","295,702"
08/05/2021,"15.31","15.79","15.26","15.69","288,559"
08/04/2021,"15.39","15.45","15.05","15.43","325,891"
08/03/2021,"15.38","15.84","15.12","15.39","335,589"
08/02/2021,"14.81","15.39","14.71","15.28","508,181"
07/30/2021,"14.74","15.00","14.68","14.74","452,071"
07/29/2021,"14.88","15.27","14.62","15.02","634,773"
07/28/2021,"14.82","15.41","14.82","15.05","585,575"
07/27/2021,"14.81","15.49","14.75","15.00","509,884"
07/26/2021,"15.15","15.40","14.58","15.07","479,013"
07/23/2021,"16.96","17.03","15.04","15.15","1,145,768"
07/22/2021,"14.34","16.24","14.24","15.70","746,808"
07/21/2021,"13.93","15.41","13.87","14.24","493,156"
07/20/2021,"13.71","14.15","13.60","13.96","1,012,191"
07/19/2021,"16.30","16.31","13.50","13.75","2,686,856"
07/16/2021,"16.47","16.65","15.87","16.10","1,855,078"
07/15/2021,"17.00","17.75","15.50","16.20","9,713,475"
