Date,Open,High,Low,Close,Volume
08/20/2021,"4.0600","4.4400","4.0100","4.1700","143,640"
08/19/2021,"4.3100","4.3833","4.0883","4.1000","70,696"
08/18/2021,"4.2500","4.6400","4.2000","4.4101","100,579"
08/17/2021,"4.3300","4.3400","4.2500","4.3200","39,782"
08/16/2021,"4.4000","4.4393","4.2660","4.3700","68,679"
08/13/2021,"4.6650","4.6650","4.4000","4.6000","42,217"
08/12/2021,"4.7300","4.7300","4.4500","4.5501","36,398"
08/11/2021,"4.7400","4.9000","4.6000","4.7200","106,778"
08/10/2021,"4.4800","5.0965","4.4500","4.8500","200,279"
08/09/2021,"4.5000","4.6000","4.3301","4.5300","75,788"
08/06/2021,"4.5600","4.5700","4.4000","4.5400","31,863"
08/05/2021,"4.3700","4.5700","4.2500","4.5500","79,291"
08/04/2021,"4.5700","4.5700","4.3100","4.3700","206,542"
08/03/2021,"4.8700","4.8700","4.4000","4.5000","403,360"
08/02/2021,"5.0400","5.0401","4.8800","4.8800","66,806"
07/30/2021,"4.9010","5.1700","4.9000","5.0000","108,228"
07/29/2021,"4.7600","5.5210","4.7600","4.9800","496,460"
07/28/2021,"4.9000","5.0299","4.6300","4.7600","240,729"
07/27/2021,"5.4000","5.4700","4.8000","4.8300","373,182"
07/26/2021,"5.7500","5.7500","5.1000","5.5700","505,887"
07/23/2021,"5.4000","6.1500","5.2900","5.8000","1,500,381"
07/22/2021,"6.7200","6.7200","5.4100","5.7400","3,839,120"
07/21/2021,"6.7000","7.5800","5.7500","7.4900","11,655,260"
