Date,Open,High,Low,Close,Volume
08/11/2021,"20.50","20.91","19.20","20.23","104,615"
08/10/2021,"20.80","21.98","20.31","20.70","92,653"
08/09/2021,"21.91","22.51","20.26","20.72","103,888"
08/06/2021,"21.48","22.22","20.33","21.73","120,960"
08/05/2021,"21.71","22.00","20.12","21.14","221,843"
08/04/2021,"22.55","24.24","21.78","22.12","120,019"
08/03/2021,"22.59","22.87","22.01","22.40","86,131"
08/02/2021,"19.74","22.88","19.62","22.34","226,214"
07/30/2021,"19.39","20.10","19.21","19.74","50,295"
07/29/2021,"19.62","20.03","19.14","19.23","74,988"
07/28/2021,"19.60","20.37","19.16","19.48","144,060"
07/27/2021,"19.85","20.10","19.33","19.41","95,581"
07/26/2021,"20.40","20.40","19.41","19.93","150,689"
07/23/2021,"20.04","20.26","19.76","20.22","102,082"
07/22/2021,"20.99","20.99","19.53","20.33","74,237"
07/21/2021,"19.73","20.71","19.71","20.32","86,863"
07/20/2021,"19.81","21.05","19.08","19.90","153,462"
07/19/2021,"19.63","21.08","19.50","20.09","120,068"
07/16/2021,"20.14","20.65","19.39","20.01","206,592"
07/15/2021,"21.08","21.08","19.91","19.91","196,062"
07/14/2021,"20.18","21.22","19.83","20.73","96,979"
07/13/2021,"19.49","20.33","19.00","19.86","184,882"
07/12/2021,"20.14","20.40","19.02","20.10","225,097"
07/09/2021,"18.85","21.80","17.75","18.54","228,331"
07/08/2021,"20.00","21.62","18.19","18.39","195,576"
07/07/2021,"23.00","24.79","20.01","20.04","120,112"
07/06/2021,"25.13","27.42","22.00","22.17","387,690"
07/02/2021,"26.16","26.29","24.15","25.46","195,099"
07/01/2021,"27.05","27.62","24.53","26.07","552,940"
06/30/2021,"26.25","29.00","25.00","28.00","2,856,070"
