Date,Open,High,Low,Close,Volume
08/12/2021,"24.82","25.42","23.33","24.00","191,910"
08/11/2021,"26.15","26.77","24.94","25.16","112,535"
08/10/2021,"27.40","28.04","25.47","25.52","124,218"
08/09/2021,"27.91","28.67","27.29","27.37","31,145"
08/06/2021,"27.99","28.17","27.50","28.01","13,369"
08/05/2021,"27.95","28.26","27.12","27.99","119,724"
08/04/2021,"27.54","28.20","27.34","27.87","38,619"
08/03/2021,"27.50","27.74","27.15","27.62","65,893"
08/02/2021,"27.91","28.19","27.05","27.78","77,404"
07/30/2021,"28.80","28.80","27.03","27.74","117,984"
07/29/2021,"28.97","28.98","28.68","28.80","19,170"
07/28/2021,"28.60","28.94","28.49","28.80","50,075"
07/27/2021,"28.51","29.25","28.27","28.67","116,566"
07/26/2021,"29.50","29.50","28.31","28.72","241,642"
07/23/2021,"29.32","29.52","28.80","29.48","44,558"
07/22/2021,"29.65","29.71","28.75","29.18","89,932"
07/21/2021,"29.25","29.77","28.27","29.60","108,517"
07/20/2021,"30.00","30.44","28.75","28.89","244,944"
07/19/2021,"29.15","29.83","28.67","29.69","133,615"
07/16/2021,"30.10","30.10","28.95","29.06","89,850"
07/15/2021,"29.12","30.19","28.60","29.91","254,403"
07/14/2021,"29.69","30.20","28.80","29.13","126,749"
07/13/2021,"30.18","30.50","29.39","29.58","230,471"
07/12/2021,"31.49","32.04","29.31","29.85","638,169"
07/09/2021,"29.53","30.96","29.36","30.89","268,914"
07/08/2021,"29.27","29.95","28.55","29.48","211,336"
07/07/2021,"30.04","30.47","29.00","29.30","231,253"
07/06/2021,"30.03","30.44","29.80","30.12","199,192"
07/02/2021,"29.04","30.02","29.04","29.86","157,931"
07/01/2021,"29.59","30.10","28.65","29.17","355,827"
06/30/2021,"30.27","30.43","28.80","29.26","290,467"
06/29/2021,"30.24","30.36","29.66","30.21","286,037"
06/28/2021,"30.29","30.50","29.50","30.00","166,036"
06/25/2021,"30.34","30.37","29.88","30.14","123,552"
06/24/2021,"29.94","30.82","29.56","30.32","363,965"
06/23/2021,"29.90","30.30","29.13","30.20","151,870"
06/22/2021,"30.50","30.50","29.12","29.70","191,632"
06/21/2021,"29.69","30.13","29.21","30.00","329,124"
06/18/2021,"28.73","29.66","28.31","29.06","297,922"
06/17/2021,"29.25","29.80","28.73","28.77","930,305"
06/16/2021,"31.25","31.64","27.25","28.81","6,176,688"
