Date,Open,High,Low,Close,Volume
08/12/2021,"16.78","18.15","16.78","18.14","126,887"
08/11/2021,"17.83","17.83","16.84","16.88","26,347"
08/10/2021,"17.39","17.45","16.80","17.11","38,299"
08/09/2021,"18.00","18.00","16.78","16.82","178,989"
08/06/2021,"17.98","18.16","17.34","18.16","74,035"
08/05/2021,"17.94","18.10","17.20","17.80","108,556"
08/04/2021,"18.00","18.37","17.31","17.63","300,679"
08/03/2021,"16.64","18.09","16.35","18.00","294,697"
08/02/2021,"16.00","18.04","16.00","16.28","225,355"
07/30/2021,"15.18","16.58","15.12","15.65","324,213"
07/29/2021,"16.00","16.00","14.88","15.18","353,550"
07/28/2021,"16.75","16.87","15.66","15.94","628,914"
07/27/2021,"17.00","17.24","16.61","16.80","359,626"
07/26/2021,"17.50","17.69","16.76","17.00","666,098"
07/23/2021,"18.45","18.74","16.46","16.76","2,567,365"
