Date,Open,High,Low,Close,Volume
08/20/2021,"6.82","7.13","6.63","6.74","197,975"
08/19/2021,"6.95","7.21","6.82","6.82","129,237"
08/18/2021,"7.44","7.53","6.97","6.97","135,442"
08/17/2021,"7.60","7.98","6.89","7.27","385,839"
08/16/2021,"8.00","8.00","7.28","7.51","141,426"
08/13/2021,"7.76","8.01","7.65","7.86","50,825"
08/12/2021,"7.95","7.95","7.56","7.74","86,933"
08/11/2021,"8.00","8.28","7.53","7.96","245,527"
08/10/2021,"7.35","7.95","7.35","7.95","288,495"
08/09/2021,"7.15","7.40","7.10","7.36","145,628"
08/06/2021,"7.20","7.38","6.86","7.23","229,573"
08/05/2021,"7.05","7.49","7.01","7.24","382,732"
08/04/2021,"7.00","7.10","6.75","7.03","83,142"
08/03/2021,"7.11","7.44","6.62","7.00","165,533"
08/02/2021,"6.78","7.46","6.56","7.01","559,752"
07/30/2021,"6.77","7.20","6.77","7.00","140,983"
07/29/2021,"7.26","7.26","6.80","6.80","201,050"
07/28/2021,"7.33","7.50","6.77","7.07","349,989"
07/27/2021,"8.28","8.28","6.68","7.33","580,013"
07/26/2021,"7.88","8.89","7.80","8.29","835,884"
07/23/2021,"8.25","8.75","7.40","8.00","4,054,303"
