Date,Open,High,Low,Close,Volume
08/30/2021,"22.84","22.84","20.91","21.00","332,287"
08/27/2021,"22.97","23.22","22.30","22.41","216,177"
08/26/2021,"22.21","23.41","21.82","22.92","388,779"
08/25/2021,"20.95","22.97","20.95","22.11","762,660"
08/24/2021,"20.43","21.00","20.23","20.44","368,715"
08/23/2021,"19.40","20.34","19.38","20.12","313,046"
08/20/2021,"19.19","19.63","19.00","19.38","155,930"
08/19/2021,"19.24","19.48","18.90","19.19","79,007"
08/18/2021,"18.58","19.41","18.58","19.24","153,468"
08/17/2021,"19.86","20.31","18.09","18.63","252,460"
08/16/2021,"19.51","20.01","19.30","19.79","160,832"
08/13/2021,"19.23","19.80","19.03","19.43","172,173"
08/12/2021,"19.12","19.50","18.85","19.40","180,458"
08/11/2021,"19.06","19.45","18.49","19.10","215,228"
08/10/2021,"19.03","19.73","18.26","18.89","577,452"
08/09/2021,"19.88","20.32","19.74","19.85","212,285"
08/06/2021,"20.04","20.50","19.24","19.97","132,744"
08/05/2021,"19.04","20.18","19.02","19.59","345,470"
08/04/2021,"18.48","19.24","18.14","19.03","655,030"
08/03/2021,"18.21","18.43","17.79","18.06","148,151"
08/02/2021,"17.59","18.40","17.58","18.27","358,690"
07/30/2021,"18.52","18.78","17.38","17.57","537,829"
07/29/2021,"18.60","18.79","18.03","18.41","387,914"
07/28/2021,"17.93","18.65","17.80","18.62","541,406"
07/27/2021,"17.64","18.09","17.27","17.85","468,780"
07/26/2021,"17.51","17.75","17.30","17.51","743,957"
07/23/2021,"16.55","17.58","16.54","17.45","443,735"
07/22/2021,"16.36","16.70","16.30","16.63","405,367"
07/21/2021,"16.64","17.00","16.33","16.50","547,256"
07/20/2021,"16.40","16.83","16.01","16.82","309,117"
07/19/2021,"16.70","16.92","16.25","16.51","366,616"
07/16/2021,"16.87","17.15","16.87","16.95","124,734"
07/15/2021,"17.00","17.10","16.71","17.00","224,670"
07/14/2021,"17.01","17.08","16.69","16.95","220,788"
07/13/2021,"17.05","17.08","16.64","16.85","153,131"
07/12/2021,"17.10","17.25","16.77","17.00","481,139"
07/09/2021,"17.86","17.86","16.85","17.08","446,131"
07/08/2021,"16.96","17.30","16.80","16.99","598,629"
07/07/2021,"18.64","19.41","16.64","17.24","1,484,548"
07/06/2021,"17.42","18.68","17.28","18.38","883,078"
07/02/2021,"17.05","18.40","16.90","17.24","2,319,577"
07/01/2021,"20.00","21.00","16.24","17.60","10,207,470"
