Date,Open,High,Low,Close,Volume
08/20/2021,"25.95","28.06","25.78","27.71","471,223"
08/19/2021,"25.12","26.81","24.93","25.57","441,782"
08/18/2021,"24.14","25.80","24.05","25.30","271,494"
08/17/2021,"26.92","27.19","24.10","24.71","483,402"
08/16/2021,"26.44","27.20","26.25","26.94","356,021"
08/13/2021,"25.13","26.58","24.45","26.14","367,619"
08/12/2021,"25.51","26.50","24.00","25.12","633,326"
08/11/2021,"24.95","26.38","24.38","25.77","549,139"
08/10/2021,"23.75","25.36","23.48","24.94","851,745"
08/09/2021,"22.69","23.56","22.50","23.44","365,067"
08/06/2021,"21.96","23.00","21.93","22.40","396,924"
08/05/2021,"20.50","21.70","20.37","21.59","265,834"
08/04/2021,"20.43","20.82","19.50","20.59","437,661"
08/03/2021,"20.00","21.00","19.79","20.65","3,876,332"
08/02/2021,"18.68","20.10","18.51","19.60","1,453,768"
07/30/2021,"18.25","18.79","18.18","18.45","586,163"
07/29/2021,"18.10","18.80","17.75","18.15","1,118,936"
07/28/2021,"18.50","18.90","17.57","18.00","6,601,131"
