Date,Open,High,Low,Close,Volume
08/20/2021,"17.30","17.65","15.27","16.04","143,619"
08/19/2021,"17.05","17.83","16.60","17.07","117,183"
08/18/2021,"17.73","18.30","17.07","17.28","113,470"
08/17/2021,"15.39","18.70","15.01","17.98","346,887"
08/16/2021,"18.30","18.30","15.00","15.48","333,872"
08/13/2021,"17.51","19.00","16.39","18.61","293,332"
08/12/2021,"20.05","21.50","15.68","17.43","946,015"
08/11/2021,"14.45","29.40","14.01","20.74","7,434,902"
08/10/2021,"12.31","14.40","12.04","13.80","148,882"
08/09/2021,"12.01","12.80","11.99","12.40","85,912"
08/06/2021,"11.99","13.11","11.33","11.80","201,085"
08/05/2021,"11.90","11.90","11.28","11.81","124,056"
08/04/2021,"11.00","12.00","10.75","11.83","257,863"
08/03/2021,"10.26","11.20","10.00","10.70","43,590"
08/02/2021,"12.25","12.25","9.24","10.75","179,780"
07/30/2021,"11.26","12.25","10.50","11.00","971,419"
