Date,Open,High,Low,Close,Volume
08/30/2021,"18.27","18.32","17.39","17.81","67,509"
08/27/2021,"18.20","18.68","18.07","18.41","68,477"
08/26/2021,"17.65","18.30","17.44","18.29","50,456"
08/25/2021,"17.68","17.76","17.25","17.53","66,626"
08/24/2021,"18.05","18.25","17.60","17.69","52,076"
08/23/2021,"18.42","18.71","17.64","17.91","72,730"
08/20/2021,"18.48","18.59","18.25","18.41","22,359"
08/19/2021,"18.25","18.72","18.25","18.55","39,535"
08/18/2021,"18.25","18.73","18.20","18.40","41,611"
08/17/2021,"18.15","18.41","17.62","18.33","35,834"
08/16/2021,"18.30","18.30","17.94","18.23","41,009"
08/13/2021,"18.80","18.80","18.25","18.36","37,225"
08/12/2021,"18.69","18.85","18.21","18.80","54,322"
08/11/2021,"18.50","18.75","18.50","18.71","28,132"
08/10/2021,"18.85","18.95","18.47","18.58","45,414"
08/09/2021,"18.82","18.91","18.51","18.67","86,061"
08/06/2021,"18.80","19.00","18.67","18.71","97,138"
08/05/2021,"18.54","18.84","18.33","18.80","53,503"
08/04/2021,"18.46","18.66","18.21","18.66","31,834"
08/03/2021,"18.80","18.80","18.26","18.49","62,238"
08/02/2021,"18.76","18.99","18.56","18.90","109,752"
07/30/2021,"18.60","18.82","18.40","18.82","60,831"
07/29/2021,"18.07","18.64","18.07","18.62","96,000"
07/28/2021,"17.60","18.15","17.49","18.15","76,750"
07/27/2021,"17.72","17.72","17.44","17.53","50,447"
07/26/2021,"17.63","17.85","17.55","17.75","36,345"
07/23/2021,"17.70","17.73","17.56","17.63","43,202"
07/22/2021,"17.70","17.70","17.50","17.65","111,326"
07/21/2021,"17.25","17.72","17.11","17.54","121,190"
07/20/2021,"17.22","17.45","17.11","17.26","84,363"
07/19/2021,"17.45","17.85","17.24","17.24","72,464"
07/16/2021,"17.52","17.74","17.45","17.56","137,378"
07/15/2021,"17.50","18.04","17.50","17.65","95,933"
07/14/2021,"17.25","17.85","17.25","17.67","126,084"
07/13/2021,"17.79","17.79","17.33","17.33","161,353"
07/12/2021,"17.40","17.92","17.35","17.90","227,556"
07/09/2021,"16.60","17.46","16.55","17.09","161,804"
07/08/2021,"16.25","16.70","16.10","16.61","115,959"
07/07/2021,"17.18","17.20","16.50","16.70","111,952"
07/06/2021,"17.37","17.50","17.17","17.28","130,148"
07/02/2021,"17.50","17.62","17.40","17.62","59,344"
07/01/2021,"17.83","17.83","17.40","17.50","163,526"
06/30/2021,"17.70","18.10","17.50","17.87","131,111"
06/29/2021,"17.60","18.10","17.20","18.07","132,856"
06/28/2021,"18.10","18.14","17.50","17.50","233,594"
06/25/2021,"17.75","18.22","17.50","18.20","252,762"
06/24/2021,"18.15","18.15","17.61","17.75","181,042"
06/23/2021,"18.00","18.15","17.85","18.00","291,950"
06/22/2021,"18.05","18.14","18.00","18.02","269,586"
06/21/2021,"18.20","18.20","18.00","18.15","131,667"
06/18/2021,"18.94","18.94","17.11","18.19","595,000"
06/17/2021,"18.75","18.75","18.25","18.65","1,490,704"
